id,text,url,death_date,name,age,nationality,cause,description,votes,sortorder,article_length,versions,editors,inbound_links
6247,"Stevie Wright, 68, English-born Australian singer (The Easybeats).[414]",https://en.wikipedia.org/wiki/Stevie_Wright_(Australian_singer),2015-12-27 00:00:00,Stevie Wright,68.0,English-born Australian,, singer (The Easybeats),0,0,11690,241,148,124
6248,"Youhannes Ezzat Zakaria Badir, 66, Egyptian Coptic Catholic hierarch, Bishop of Ismayliah (1992–1994) and Luqsor (since 1994).[415]",https://en.wikipedia.org/wiki/Youhannes_Ezzat_Zakaria_Badir,2015-12-27 00:00:00,Youhannes Ezzat Zakaria Badir,66.0,Egyptian,," Coptic Catholic hierarch, Bishop of Ismayliah (1992–1994) and Luqsor (since 1994)",0,0,300,2,2,3
6249,"Ann Arnold, 79, English artist.[416]",https://en.wikipedia.org/wiki/Ann_Arnold,2015-12-28 00:00:00,Ann Arnold,79.0,English,, artist,0,0,658,43,29,16
6250,"Chris Barnard, 76, South African author, heart attack.[417]",https://en.wikipedia.org/wiki/Chris_Barnard_(author),2015-12-28 00:00:00,Chris Barnard,76.0,South African,heart attack, author,0,0,1216,75,38,29
6251,"Robert O. Blake, 94, American diplomat, Ambassador to Mali (1970–1973), prostate cancer.[418]",https://en.wikipedia.org/wiki/Robert_O._Blake,2015-12-28 00:00:00,Robert O. Blake,94.0,American,prostate cancer, diplomat Ambassador to Mali (1970–1973),0,0,1748,36,30,19
6252,"John Bradbury, 62, English drummer (The Specials).[419]",https://en.wikipedia.org/wiki/John_Bradbury_(drummer),2015-12-28 00:00:00,John Bradbury,62.0,English,, drummer (The Specials),0,0,6183,125,70,50
6253,"Nancy Randall Clark, 77, American politician.[420]",https://en.wikipedia.org/wiki/Nancy_Randall_Clark,2015-12-28 00:00:00,Nancy Randall Clark,77.0,American,, politician,0,0,853,5,4,4
6254,"Rick Cluchey, 82, American playwright.[421]",https://en.wikipedia.org/wiki/Rick_Cluchey,2015-12-28 00:00:00,Rick Cluchey,82.0,American,, playwright,0,0,462,7,5,6
6255,"Bram de Does, 81, Dutch typographer.[422]",https://en.wikipedia.org/wiki/Bram_de_Does,2015-12-28 00:00:00,Bram de Does,81.0,Dutch,, typographer,0,0,2515,43,30,18
6256,"Maggie Deahm, 77, Australian politician, member of the Australian House of Representatives for Macquarie (1993–1996).[423]",https://en.wikipedia.org/wiki/Maggie_Deahm,2015-12-28 00:00:00,Maggie Deahm,77.0,Australian,," politician, member of the Australian House of Representatives for Macquarie (1993–1996)",0,0,830,33,24,23
6257,"Guru Josh, 51, Jersey musician.[424]",https://en.wikipedia.org/wiki/Guru_Josh,2015-12-28 00:00:00,Guru Josh,51.0,Jersey,, musician,0,0,3375,544,283,155
6258,"Joe Houston, 89, American jazz and R&B saxophonist.[425]",https://en.wikipedia.org/wiki/Joe_Houston,2015-12-28 00:00:00,Joe Houston,89.0,American,, jazz and R&B saxophonist,0,0,2005,94,53,37
6259,"Eloy Inos, 66, Northern Mariana Islands politician, Governor (since 2013), Lieutenant Governor (2009–2013), complications after heart surgery.[426]",https://en.wikipedia.org/wiki/Eloy_Inos,2015-12-28 00:00:00,Eloy Inos,66.0,Northern Mariana Islands,complications after heart surgery, politician Governor (since 2013) Lieutenant Governor (2009–2013),0,0,5305,138,56,76
6260,"Eiji Kimizuka, 63, Japanese general, Chief of Staff Ground Self-Defense Force (2011–2013), lung cancer.[427]",https://en.wikipedia.org/wiki/Eiji_Kimizuka,2015-12-28 00:00:00,Eiji Kimizuka,63.0,Japanese,lung cancer, general Chief of Staff Ground Self-Defense Force (2011–2013),0,0,1609,23,14,10
