id,text,url,death_date,name,age,nationality,claim,cause
9023,"Pranlal Kharsani, 89, Indian actor.[354]",https://en.wikipedia.org/wiki/Pranlal_Kharsani,2016-05-20 00:00:00,Pranlal Kharsani,89,Indian,actor,
9024,"Tsuyoshi Makino, 70, Japanese author, critic and social activist.[355]",https://en.wikipedia.org/wiki/Tsuyoshi_Makino,2016-05-20 00:00:00,Tsuyoshi Makino,70,Japanese,author,
9025,"Joe McDonagh, 62, Irish sports administrator, President of the Gaelic Athletic Association (1997–2000).[356]",https://en.wikipedia.org/wiki/Joe_McDonagh,2016-05-20 00:00:00,Joe McDonagh,62,Irish,sports administrator,
9026,"Audrey Purton, 90, British Women's Royal Army Corps officer.[357]",https://en.wikipedia.org/wiki/Audrey_Purton,2016-05-20 00:00:00,Audrey Purton,90,British,Women's Royal Army Corps officer,
9027,"Miguel de la Quadra-Salcedo, 84, Spanish journalist and athlete.[358]",https://en.wikipedia.org/wiki/Miguel_de_la_Quadra-Salcedo,2016-05-20 00:00:00,Miguel de la Quadra-Salcedo,84,Spanish,journalist and athlete,
9028,"Ádám Rajhona, 72, Hungarian actor.[359]",https://en.wikipedia.org/wiki/%C3%81d%C3%A1m_Rajhona,2016-05-20 00:00:00,Ádám Rajhona,72,Hungarian,actor,
9029,"Lucille Stone, 90, American baseball player (All-American Girls Professional Baseball League), complications from hydrocephalus.[360]",https://en.wikipedia.org/wiki/Lucille_Stone,2016-05-20 00:00:00,Lucille Stone,90,American,baseball player,complications from hydrocephalus
9030,"Albert M. Sackett, 95, American Navy rear admiral.[361]",https://en.wikipedia.org/wiki/Albert_M._Sackett,2016-05-20 00:00:00,Albert M. Sackett,95,American,Navy rear admiral,
9031,"Yagya Datt Sharma, 80, Indian politician, member of the Madhya Pradesh Legislative Assembly.[362]",https://en.wikipedia.org/wiki/Yagya_Datt_Sharma_(politician),2016-05-20 00:00:00,Yagya Datt Sharma,80,Indian,politician,
9032,"Robyn Sisman, 66, American-born British publisher and author.[363]",https://en.wikipedia.org/wiki/Robyn_Sisman,2016-05-20 00:00:00,Robyn Sisman,66,American-born British,publisher and author,
9033,"Bogdan Ulmu, 65, Romanian theatre director, writer and publicist.[364]",https://en.wikipedia.org/wiki/Bogdan_Ulmu,2016-05-20 00:00:00,Bogdan Ulmu,65,Romanian,theatre director,
9034,"Wheelock Whitney, Jr., 89, American sports executive (Minnesota Twins, Minnesota North Stars, Minnesota Vikings).[365]","https://en.wikipedia.org/wiki/Wheelock_Whitney,_Jr.",2016-05-20 00:00:00,"Wheelock Whitney, Jr.",89,American,sports executive,
